Aheu	500	Definitely endangered
Sanenyo	1300	Critically endangered
Tolomako	450	Definitely endangered
Kim	20	Critically endangered
Waru	300	Definitely endangered
Jarawára	180	Vulnerable
Erokwanas	200	Vulnerable
Tipai (Mexico)	184	Severely endangered
Sapé	50	Critically endangered
Aleut (Western, Commander Islands)	5	Critically endangered
Katawixi	10	Critically endangered
Wali	487	Critically endangered
As	230	Vulnerable
Negidal	147	Critically endangered
Drubea	946	Vulnerable
Bai	2500	Definitely endangered
Kulun	0	Extinct
Qwarenya	0	Extinct
Togoyo	0	Extinct
Tipai (United States of America)	40	Severely endangered
Mountain Guarijío	696	Vulnerable
Moraori	50	Severely endangered
Miskito (Honduras)	25000	Vulnerable
Baras	200	Severely endangered
Resígaro	5	Critically endangered
Jaya	2200	Severely endangered
Arabela	50	Severely endangered
O'odham (Akimel)	15000	Definitely endangered
Southern Altay	50000	Definitely endangered
Pipil	200	Critically endangered
Eastern Mari	414211	Definitely endangered
Simi	104000	Vulnerable
Yaaku	0	Extinct
Jamamadí	800	Vulnerable
Bharmauri	3976	Definitely endangered
Crimean Tatar (Dobruja)	20000	Severely endangered
Kayabi	1000	Vulnerable
Zeme	34000	Vulnerable
Kaiep	250	Vulnerable
Bunun	10000	Vulnerable
Antakirinya	200	Definitely endangered
Sierra Popoluca	28700	Vulnerable
Bundjalung	20	Severely endangered
Tingal	8000	Definitely endangered
Yukpa	3000	Vulnerable
Lorediakarkar	10	Critically endangered
Moose Cree	405	Vulnerable
Arha	50	Critically endangered
Moose Cree	405	Vulnerable
Badala	0	Critically endangered
Romansh	35095	Definitely endangered
Samre	120	Critically endangered
Tabasco Náhuatl	434	Critically endangered
Lardil	10	Critically endangered
May	1000	Definitely endangered
Tsakonian	300	Critically endangered
Ava-Canoeiro	16	Critically endangered
Antoniano	0	Extinct
Sanema (Brazil)	462	Vulnerable
Mulam	30000	Vulnerable
Makurap	50	Severely endangered
Rama	30	Critically endangered
Tialo	30000	Vulnerable
Massep	25	Critically endangered
Thao	10	Critically endangered
Inuinnaqtun	890	Definitely endangered
Jarawára	180	Vulnerable
Washo	24	Severely endangered
Konkow	3	Critically endangered
Tamazight (Ait Rouadi)	1637	Extinct
Lemerig	2	Critically endangered
Saryg Yugur	4600	Severely endangered
Breton	250000	Severely endangered
Yasa	2401	Definitely endangered
Sipakapense	5687	Definitely endangered
Dhimal	20000	Severely endangered
Ari	80	Severely endangered
Gurdu-Mbaaru	15000	Severely endangered
Waima'a	3000	Definitely endangered
Kapingamarangi	3000	Severely endangered
Kickapoo (Oklahoma)	400	Severely endangered
Nootka	185	Severely endangered
Tewa (Arizona)	1600	Definitely endangered
Likum	100	Definitely endangered
Ashaninka (Brazil)	813	Vulnerable
Karaim (Western Ukraine)	6	Critically endangered
Chatino of the western lowlands	2640	Definitely endangered
Tetserret	40000	Severely endangered
Tanema	4	Critically endangered
Naueti	1000	Vulnerable
Warapu	300	Severely endangered
Miskito (Nicaragua)	100000	Vulnerable
Nakkara	50	Severely endangered
Tench	49	Critically endangered
Cha'palaa	4000	Definitely endangered
Padoe	5000	Vulnerable
Laji	250	Critically endangered
Eastern Abenaki	0	Extinct
Vumbu	2460	Definitely endangered
Sinkiang Dagur	4000	Definitely endangered
She	1000	Critically endangered
North Alaskan Inupiaq (Kotzebue Sound)	2144	Severely endangered
Mozarabic	0	Extinct
Northern Cuicatec	1503	Vulnerable
Odut	0	Extinct
Kawaiisu	10	Critically endangered
Chontal Tabasco	36514	Severely endangered
Barbareño	0	Extinct
Judeo-Berber (Morocco)	0	Extinct
Lule Saami	2000	Severely endangered
Churahi	61199	Definitely endangered
Huehuetla Tepehua	1603	Definitely endangered
Na	350	Critically endangered
Koro	160	Definitely endangered
Mam (Guatemala)	477717	Vulnerable
Santa	360000	Vulnerable
Cherokee (North Carolina)	1000	Severely endangered
Aruaco	14799	Vulnerable
Wambaya	20	Critically endangered
Waiwai (Guyana)	240	Vulnerable
Upper Umpqua	0	Extinct
Tehuelche	4	Critically endangered
Lehali	250	Vulnerable
